anno,regione,numero_comuni,percentuale_comuni
2023,Abruzzo,62,0.2
2023,Basilicata,28,0.21
2023,Calabria,86,0.21
2023,Campania,103,0.19
2023,Emilia-Romagna,63,0.19
2023,Friuli-Venezia Giulia,50,0.23
2023,Lazio,121,0.32
2023,Liguria,80,0.34
2023,Lombardia,445,0.3
2023,Marche,84,0.37
2023,Molise,27,0.2
2023,Piemonte,374,0.32
2023,Puglia,104,0.4
2023,Sardegna,101,0.27
2023,Sicilia,130,0.33
2023,Toscana,107,0.39
2023,Trentino-Alto Adige/Südtirol,9,0.03
2023,Umbria,35,0.38
2023,Valle d'Aosta/Vallée d'Aoste,42,0.57
2023,Veneto,112,0.2
2024,Abruzzo,131,0.43
2024,Basilicata,87,0.66
2024,Calabria,175,0.43
2024,Campania,297,0.54
2024,Emilia-Romagna,87,0.26
2024,Friuli-Venezia Giulia,68,0.32
2024,Lazio,148,0.39
2024,Liguria,82,0.35
2024,Lombardia,571,0.38
2024,Marche,77,0.34
2024,Molise,74,0.54
2024,Piemonte,332,0.28
2024,Puglia,131,0.51
2024,Sardegna,113,0.3
2024,Sicilia,190,0.49
2024,Toscana,109,0.4
2024,Trentino-Alto Adige/Südtirol,37,0.13
2024,Umbria,38,0.41
2024,Valle d'Aosta/Vallée d'Aoste,16,0.22
2024,Veneto,136,0.24
2025,Abruzzo,102,0.33
2025,Basilicata,36,0.27
2025,Calabria,102,0.25
2025,Campania,196,0.36
2025,Emilia-Romagna,179,0.54
2025,Friuli-Venezia Giulia,113,0.53
2025,Lazio,150,0.4
2025,Liguria,94,0.4
2025,Lombardia,818,0.54
2025,Marche,96,0.43
2025,Molise,36,0.26
2025,Piemonte,537,0.46
2025,Puglia,139,0.54
2025,Sardegna,126,0.33
2025,Sicilia,129,0.33
2025,Toscana,170,0.62
2025,Trentino-Alto Adige/Südtirol,35,0.12
2025,Umbria,46,0.5
2025,Valle d'Aosta/Vallée d'Aoste,21,0.28
2025,Veneto,354,0.63
Complessivo,Abruzzo,223,0.73
Complessivo,Basilicata,117,0.89
Complessivo,Calabria,294,0.73
Complessivo,Campania,441,0.8
Complessivo,Emilia-Romagna,228,0.69
Complessivo,Friuli-Venezia Giulia,156,0.73
Complessivo,Lazio,278,0.74
Complessivo,Liguria,153,0.65
Complessivo,Lombardia,1072,0.71
Complessivo,Marche,165,0.73
Complessivo,Molise,113,0.83
Complessivo,Piemonte,778,0.66
Complessivo,Puglia,223,0.87
Complessivo,Sardegna,231,0.61
Complessivo,Sicilia,317,0.81
Complessivo,Toscana,215,0.79
Complessivo,Trentino-Alto Adige/Südtirol,61,0.22
Complessivo,Umbria,73,0.79
Complessivo,Valle d'Aosta/Vallée d'Aoste,55,0.74
Complessivo,Veneto,418,0.75
